iter	AUC
0	0.5667875974
1	0.5881921875
2	0.597508791
3	0.6002220266
4	0.6015715897
5	0.60544167
6	0.610625581
7	0.6154705192
8	0.6156096948
9	0.6197561479
10	0.6207843323
11	0.6194328458
12	0.6202662349
13	0.6211716307
14	0.6211911252
15	0.622322697
16	0.6222718317
17	0.6235956888
18	0.6234851883
19	0.6240095465
20	0.6250438087
21	0.6247048608
22	0.6251868952
23	0.6245769608
24	0.6246969031
25	0.6248911829
26	0.6262727299
27	0.6265785764
28	0.6266521077
29	0.6266438747
30	0.6264818319
31	0.6262716274
32	0.6262849817
33	0.6256507579
34	0.625978815
35	0.6259950803
36	0.6258109031
37	0.6257811638
38	0.6255084196
39	0.6257218828
40	0.6256851284
41	0.6267677522
42	0.62672633
43	0.6266475981
44	0.6268082046
45	0.6269058093
46	0.6271627143
47	0.626884478
48	0.6274289306
49	0.6272301655
50	0.6274581931
51	0.6275821591
52	0.6276466485
53	0.6276727706
54	0.6275570081
55	0.6275540929
56	0.627540455
57	0.627756478
58	0.6277682389
59	0.6278004312
60	0.6276533376
61	0.627626734
62	0.6276868012
63	0.6275787518
64	0.628202739
65	0.6284446144
66	0.6285336031
67	0.6287092287
68	0.6289950997
69	0.6292479016
70	0.6290363261
71	0.6290654316
72	0.6289891654
73	0.6290059768
74	0.628982076
75	0.6291786973
76	0.6290823671
77	0.6289686616
78	0.6288704892
79	0.6289026148
80	0.6292501129
81	0.6294138464
82	0.6294249077
83	0.6297061651
84	0.6296789039
85	0.6297687489
86	0.6300750147
87	0.6301831106
88	0.6302458951
89	0.630453703
90	0.6303485665
91	0.6303926294
92	0.6307363355
93	0.6307424936
94	0.630742502
95	0.6311150584
96	0.6313508181
97	0.6313482652
98	0.6313256031
99	0.6313516
100	0.6316198409
101	0.6316000587
102	0.6316396621
103	0.63174649
104	0.6316560138
105	0.631803939
106	0.6318307919
107	0.6318633229
108	0.6321113373
109	0.6322627527
110	0.6324216405
111	0.6324495922
112	0.6324570862
113	0.6324993085
114	0.6325231287
115	0.6325580866
116	0.6325125041
117	0.6327026653
118	0.6327801265
119	0.6327406017
120	0.6329203664
121	0.6330167458
122	0.6332174959
123	0.6332685121
124	0.6333059503
125	0.6333176855
126	0.6333289449
127	0.6334232989
128	0.6335478214
129	0.6335389021
130	0.6337540947
131	0.6337722613
132	0.6339899114
133	0.6340674031
134	0.6341017658
135	0.6341502222
136	0.6342561349
137	0.6344495096
138	0.6345191615
139	0.6344901275
140	0.6345304838
141	0.6346341231
142	0.6347214983
143	0.6346607234
144	0.6349493185
145	0.6351067731
146	0.635253106
147	0.6353501992
148	0.6353742693
149	0.6354582489
150	0.6354700707
151	0.6354396326
152	0.6356319922
153	0.6357646398
154	0.6359396646
155	0.6361331686
156	0.636107491
157	0.6363111065
158	0.636485125
159	0.6364583431
160	0.6366822649
